0;2;1
1300000500000005;3;2
3900001500000015;3;3
2300000500000007;5;4
11500002500000035;5;5
16100003500000049;9;6
18400004000000056;17;7
9200002000000028;33;8
2300000500000007;65;9
6900001500000021;129;10
2300000500000007;257;11
2300000500000007;513;12
2300000500000007;10000630;17
4600001000000014;10000630;18
9200002000000028;10000630;19
25300005500000077;10000630;20
50600011000000154;20000633;21
526700114500001603;40000639;22
2300000500000007;70000648;23
4600001000000014;70000648;25
6900001500000021;70000648;26
13800003000000042;70000648;27
57500012500000175;140000669;28
82800018000000252;270000708;29
167900036500000511;270000708;30
662400144000002016;540000789;31
2668000580000008120;1080000951;32
